chr	start	end
chr12	86	95
chr12	109	114
chr12	182	189
chr12	205	213
chr12	233	242
chr12	244	253
chr12	289	298
chr12	304	306
chr12	332	341
chr12	342	350
chr12	355	361
chr12	373	382
chr12	412	421
chr12	461	470
chr12	471	480
chr12	591	600
chr12	606	615
chr12	654	661
chr12	661	670
chr12	685	694
chr12	698	707
chr12	712	717
chr12	737	745
chr12	776	782
chr12	791	799
chr12	812	818
chr12	861	868
chr12	865	868
chr12	910	915
chr12	915	917
chr12	917	926
chr12	982	991
chr12	997	1006
chr12	1011	1017
chr12	1167	1172
chr12	1200	1205
chr12	1311	1316
chr12	1425	1433
chr12	1528	1537
chr12	1538	1545
chr12	1554	1562
chr12	1577	1585
chr12	1589	1598
chr12	1625	1634
chr12	1638	1644
chr12	1651	1660
chr12	1714	1717
chr12	1722	1731
chr12	1732	1735
chr12	1735	1738
chr12	1735	1743
chr12	1752	1758
chr12	1761	1766
chr12	1766	1775
chr12	1837	1846
chr12	1855	1864
chr12	1869	1877
chr12	1889	1898
chr12	1909	1917
chr12	1926	1933
chr12	1939	1947
chr12	1950	1958
chr12	1983	1992
chr12	2015	2024
chr12	2086	2094
chr12	2094	2100
chr12	2110	2119
chr12	2199	2207
chr12	2227	2236
chr12	2248	2257
chr12	2259	2268
chr12	2316	2325
chr12	2348	2357
chr12	2364	2370
chr12	2438	2447
chr12	2449	2458
chr12	2481	2488
chr12	2505	2508
chr12	2531	2535
chr12	2580	2582
chr12	2638	2647
chr12	2672	2679
chr12	2679	2685
chr12	2709	2712
chr12	2823	2828
chr12	2851	2856
chr12	2873	2879
chr12	2954	2958
chr12	2976	2978
chr12	3077	3083
