name	proportion_duplicates
N1	0.0
N2	0.0
N3	0.0
N4	0.0
N5	0.0
N6	0.0
N7	0.0
N8	0.0
N9	0.0
N10	0.0
N11	0.0
N12	0.0
N13	0.0
N14	0.0
N15	0.0
N16	0.0
N17	0.0
N18	0.0
N19	0.0
N20	0.0
N21	0.0
N22	0.0
N23	0.0
N24	0.0
N25	0.0
N26	0.0
N27	0.0
N28	0.0
N29	0.0
N30	0.0
N31	0.0
N32	0.0
N33	0.0
N34	0.0
N35	0.0
N36	0.0
N37	0.0
N38	0.0
N39	0.0
N40	0.0
N41	0.0
N42	0.0
N43	0.0
N44	0.0
N45	0.0
N46	0.0
N47	0.0
N48	0.0
N49	0.0
N50	0.0
N51	0.0
N52	0.0
N53	0.0
N54	0.0
N55	0.0
N56	0.0
N57	0.0
N58	0.0
N59	0.0
N60	0.0
N61	0.0
N62	0.0
N63	0.0
N64	0.0
N65	0.0
N66	0.0
N67	0.0
N68	0.0
N69	0.0
N70	0.0
N71	0.0
N72	0.0
N73	0.0
N74	0.0
N75	0.0
N76	0.0
N77	0.0
N78	0.0
N79	0.0
N80	0.0
N81	0.0
N82	0.0
N83	0.0
N84	0.0
N85	0.0
N86	0.0
N87	0.0
N88	0.0
N89	0.0
N90	0.0
N91	0.0
N92	0.0
N93	0.0
N94	0.0
N95	0.0
N96	0.0
N97	0.0
N98	0.0
N99	0.0
N100	0.0
N101	0.0
N102	0.0
N103	0.0
N104	0.0
N105	0.0
N106	0.0
N107	0.0
N108	0.0
N109	0.0
N110	0.0
N111	0.0
N112	0.0
N113	0.0
N114	0.0
N115	0.0
N116	0.0
N117	0.0
N118	0.0
N119	0.0
N120	0.0
N121	0.0
N122	0.0
N123	0.0
N124	0.0
N125	0.0
N126	0.0
N127	0.0
N128	0.0
N129	0.0
N130	0.0
N131	0.0
N132	0.0
N133	0.0
N134	0.0
N135	0.0
N136	0.0
N137	0.0
N138	0.0
N139	0.0
N140	0.0
N141	0.0
N142	0.0
N143	0.0
N144	0.0
N145	0.0
N146	0.0
N147	0.0
N148	0.0
N149	0.0
N150	0.0
N151	0.0
N152	0.0
N153	0.0
N154	0.0
N155	0.0
N156	0.0
N157	0.0
N158	0.0
N159	0.0
N160	0.0
N161	0.0
N162	0.0
N163	0.0
N164	0.0
N165	0.0
N166	0.0
N167	0.0
N168	0.0
N169	0.0
N170	0.0
N171	0.0
N172	0.005813953488372103
N173	0.005780346820809301
N174	0.005747126436781658
N175	0.005714285714285672
N176	0.005681818181818232
N177	0.005649717514124242
N178	0.005617977528089901
N179	0.005586592178770999
N180	0.005555555555555536
N181	0.0055248618784530246
N182	0.005494505494505475
N183	0.005464480874316946
N184	0.005434782608695676
N185	0.00540540540540535
N186	0.005376344086021501
N187	0.005347593582887722
N188	0.005319148936170248
N189	0.005291005291005346
N190	0.0052631578947368585
N191	0.005235602094240788
N192	0.00520833333333337
N193	0.005181347150259086
N194	0.005154639175257714
N195	0.00512820512820511
N196	0.005102040816326481
N197	0.005076142131979711
N198	0.005050505050505083
N199	0.005025125628140725
